item,itemLabel,point_of_time
http://www.wikidata.org/entity/Q43395898,Alison Rae,1678-11-14T00:00:00Z
http://www.wikidata.org/entity/Q43395900,Margaret Williamson,1678-11-14T00:00:00Z
http://www.wikidata.org/entity/Q43395997,Agnes Baxter,1662-06-11T00:00:00Z
http://www.wikidata.org/entity/Q43395998,wife of Alexander Aitkin,1662-06-11T00:00:00Z
http://www.wikidata.org/entity/Q43396008,Kathareen Manson,1660-03-28T00:00:00Z
http://www.wikidata.org/entity/Q43396071,Jonet Neilson,1658-05-14T00:00:00Z
http://www.wikidata.org/entity/Q43395992,Grissell Rankin,1657-12-27T00:00:00Z
http://www.wikidata.org/entity/Q43396059,Bessie Boyd,1651-08-11T00:00:00Z
http://www.wikidata.org/entity/Q43396120,Agnes Dunlop,1650-06-26T00:00:00Z
http://www.wikidata.org/entity/Q43396118,Isobel Hutchison,1650-06-26T00:00:00Z
http://www.wikidata.org/entity/Q43396065,Hellein Girvan,1650-05-11T00:00:00Z
http://www.wikidata.org/entity/Q43396096,John Sheddon,1650-05-02T00:00:00Z
http://www.wikidata.org/entity/Q43396097,Margaret Montgomerie,1650-05-02T00:00:00Z
http://www.wikidata.org/entity/Q43396168,Allan Lawder,1649-11-05T00:00:00Z
http://www.wikidata.org/entity/Q43396166,Marion Browne,1649-09-07T00:00:00Z
http://www.wikidata.org/entity/Q43396188,Katherine Wilson,1633-12-06T00:00:00Z
http://www.wikidata.org/entity/Q43396148,Jonet Rank,1632-04-08T00:00:00Z
http://www.wikidata.org/entity/Q43395933,unknown woman accused of witchcraft,1629-11-21T00:00:00Z
http://www.wikidata.org/entity/Q43395983,Adam Cristie,1629-03-24T00:00:00Z
http://www.wikidata.org/entity/Q43396011,Helen A Wallis,1616-06-23T00:00:00Z
http://www.wikidata.org/entity/Q43395981,Patrick Sinclair,1629-08-06T00:00:00Z
http://www.wikidata.org/entity/Q43396006,Catherein Thomasdochter,1603-08-02T00:00:00Z
http://www.wikidata.org/entity/Q43396091,Gill Goddie,1602-01-17T00:00:00Z
http://www.wikidata.org/entity/Q43395927,Wyfie of Saltoun-milne,1591-05-18T00:00:00Z
http://www.wikidata.org/entity/Q43396072,John Findlaw,1586-05-19T00:00:00Z
http://www.wikidata.org/entity/Q43395970,John Robertson,1699-05-02T00:00:00Z
http://www.wikidata.org/entity/Q43395911,Michael Clark,1591-01-05T00:00:00Z
http://www.wikidata.org/entity/Q43396050,Helen Wood,1643-08-11T00:00:00Z
http://www.wikidata.org/entity/Q43395965,Helen Thompson,1699-04-29T00:00:00Z
http://www.wikidata.org/entity/Q43395950,Issobell Lachlane,1697-04-23T00:00:00Z
http://www.wikidata.org/entity/Q43395959,John Stewart,1697-05-29T00:00:00Z
http://www.wikidata.org/entity/Q43394723,Helen Rowane,1634-09-09T00:00:00Z
http://www.wikidata.org/entity/Q43394218,Margaret Donaldson,1643-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43394634,Fritte Gutter,1597-10-16T00:00:00Z
http://www.wikidata.org/entity/Q43394243,Jean Mitchell,1644-03-11T00:00:00Z
http://www.wikidata.org/entity/Q43394866,Marioun Neyn Donald McIngaruch (McAndyour),1577-11-04T00:00:00Z
http://www.wikidata.org/entity/Q43394536,Mary Wilson,1704-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43394810,Bessie Callender,1704-08-31T00:00:00Z
http://www.wikidata.org/entity/Q43394812,Mary Carmichael,1704-08-31T00:00:00Z
http://www.wikidata.org/entity/Q43394516,Robert Bainzie,1703-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43394499,Meg Lawson,1700-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43394595,Margaret Provost,1699-10-16T00:00:00Z
http://www.wikidata.org/entity/Q43394645,Agnes Anstruther,1603-12-25T00:00:00Z
http://www.wikidata.org/entity/Q43394463,Janet Sym,1659-10-09T00:00:00Z
http://www.wikidata.org/entity/Q43394853,Isobel Kemp,1659-02-02T00:00:00Z
http://www.wikidata.org/entity/Q43394344,Jonnet Mackskinning,1658-04-10T00:00:00Z
http://www.wikidata.org/entity/Q43394507,Jonnet Holmes,1658-04-10T00:00:00Z
http://www.wikidata.org/entity/Q43394410,Jonat Couper,1649-12-05T00:00:00Z
http://www.wikidata.org/entity/Q43394441,Janet McKendrig,1649-04-15T00:00:00Z
http://www.wikidata.org/entity/Q43394255,Margaret Ramsay,1644-01-01T00:00:00Z
http://www.wikidata.org/entity/Q43394320,Jonet Mitchells,1646-12-06T00:00:00Z
