,Wikidata Page,Name,Residence,Long,Lat,Gender,Ethnicity,Manner of Death,Occupation,Place of Detainment,Social Classification,Wikipedia Page,Place of Death,investigation_start_time
1698,http://www.wikidata.org/entity/Q43395031,(mother of) Robertson,"Nisbet, Scottish Borders",-2.51667,55.5167,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1699,http://www.wikidata.org/entity/Q43395032,Marion Stevinstoun,"Nisbet, Scottish Borders",-2.51667,55.5167,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1700,http://www.wikidata.org/entity/Q43395041,Issobell Cathie,Sammuelston,-2.825545,55.92742,Female,,,,,,,,+00000001649-00-00T00:00:00Z
1701,http://www.wikidata.org/entity/Q43395066,Margaret Fulkhart,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001662-04-17T00:00:00Z
1702,http://www.wikidata.org/entity/Q43395092,Bessie Wrycht,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001591-01-27T00:00:00Z
1703,http://www.wikidata.org/entity/Q43395097,Helen Sumner,Aberdeen,-2.1,57.15,Female,,,,,,,,+00000001671-05-10T00:00:00Z
1704,http://www.wikidata.org/entity/Q43395109,Barbara Veitch,Edinburgh,-3.198888888,55.95,Female,,,,,,,,+00000001678-09-13T00:00:00Z
1705,http://www.wikidata.org/entity/Q43395127,Margaret Dicksoun,Kailzie,-3.136747,55.634893,Female,,,,,,,,+00000001629-06-11T00:00:00Z
1706,http://www.wikidata.org/entity/Q43395141,Issobel Haddock,West Linton,-3.3554,55.7526,Female,,,,,,,,+00000001629-06-11T00:00:00Z
1707,http://www.wikidata.org/entity/Q43395163,Margaret Loche,Eyemouth,-2.090555555,55.86944444,Female,,,,,,,,+00000001629-07-22T00:00:00Z
1708,http://www.wikidata.org/entity/Q43395166,Janet Thomesoun,Ayr,-4.627777777,55.46388889,Female,,,,,,,,+00000001629-07-30T00:00:00Z
1709,http://www.wikidata.org/entity/Q43395167,Helen McFersane,Ayr,-4.627777777,55.46388889,Female,,,,,,,,+00000001629-07-30T00:00:00Z
1710,http://www.wikidata.org/entity/Q43395170,Helen Luddes,Craigsford,-2.684546,55.634535,Female,,,,,,,,+00000001629-08-01T00:00:00Z
1711,http://www.wikidata.org/entity/Q43395173,Easter Moreis,"Foulden, Scottish Borders",-2.1148,55.7954,Female,,,,,,,,+00000001629-08-01T00:00:00Z
1712,http://www.wikidata.org/entity/Q43395189,Joan Graham,Mauchline,-4.383333333,55.41666667,Female,,,,,,,,+00000001683-05-01T00:00:00Z
1713,http://www.wikidata.org/entity/Q43395241,Margaret Durie,Aberdeen,-2.1,57.15,Female,,,,,,,,+00000001671-03-30T00:00:00Z
1714,http://www.wikidata.org/entity/Q43395269,Bessie Ireland,Perth,-3.431666666,56.39527778,Female,,,,,,,,+00000001598-03-03T00:00:00Z
1715,http://www.wikidata.org/entity/Q43395279,Christian Grintoun,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001612-10-09T00:00:00Z
1716,http://www.wikidata.org/entity/Q43395295,Katherine Hill,Dalmeny,-3.37,55.983,Female,,,,,,,,+00000001615-07-21T00:00:00Z
1717,http://www.wikidata.org/entity/Q43395306,Masie Aichesoune,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001591-01-27T00:00:00Z
1718,http://www.wikidata.org/entity/Q43395307,Jonnett Gardiner,Aberlemno,-2.783638888,56.69146111,Female,,,,,,,,+00000001618-02-24T00:00:00Z
1719,http://www.wikidata.org/entity/Q43395339,Christiane Balfour,Inverkeithing,-3.383333333,56.03333333,Female,,,,,,,,+00000001623-02-27T00:00:00Z
1720,http://www.wikidata.org/entity/Q43395359,Elspett Jamesoun,Bo'ness,-3.608911111,56.01681111,Female,,,,,,,,+00000001624-03-18T00:00:00Z
1721,http://www.wikidata.org/entity/Q43395387,Annabell Cattenhead,Footie,-2.638259,57.102973,Female,,,,,,,,+00000001626-12-14T00:00:00Z
1722,http://www.wikidata.org/entity/Q43395411,Marjorie Forrester,Haddington,-2.78332,55.95612,Female,,,,,,,,+00000001649-07-11T00:00:00Z
1723,http://www.wikidata.org/entity/Q43395451,Marion Baptie,North Berwick,-2.717,56.058,Female,,,,,,,,+00000001650-05-01T00:00:00Z
1724,http://www.wikidata.org/entity/Q43395453,Elizabeth Holiday,Pencaitland,-2.89098,55.91,Female,,,,,,,,+00000001650-05-29T00:00:00Z
1725,http://www.wikidata.org/entity/Q43395460,Alisone Blackburne,North Berwick,-2.717,56.058,Female,,,,,,,,+00000001650-05-29T00:00:00Z
