item,witch,itemLabel,place_of_detentionLabel,place_of_detention_coordinate,genderLabel,occupationLabel,chargeLabel,classLabel,ethnicLabel,mdeathLabel,cdeathLabel,deathlocLabel,detainLabel
http://www.wikidata.org/entity/Q43395813,A/LA/2548,Andro Tailyeor,Brechin,Point(-2.655277777 56.73),male,,,,,,,,Brechin
http://www.wikidata.org/entity/Q65464979,A/LA/2845,John Stewart,Renfrew,Point(-4.366666666 55.866666666),male,,,,,,,,Renfrew
http://www.wikidata.org/entity/Q43390397,A/EGD/1599,Margaret Allane,Cousland,Point(-2.995274 55.904962),female,,,,,,,,Cousland
http://www.wikidata.org/entity/Q43390766,A/EGD/2272,Helen Hill,North Queensferry,Point(-3.394166666 56.011111111),female,,,middling,,capital punishment,,,North Queensferry
http://www.wikidata.org/entity/Q43391000,A/EGD/398,Janet Cock,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,capital punishment,,,Edinburgh
http://www.wikidata.org/entity/Q43391026,A/EGD/423,Agnes Williamsone,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43391026,A/EGD/423,Agnes Williamsone,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43391026,A/EGD/423,Agnes Williamsone,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43391026,A/EGD/423,Agnes Williamsone,Haddington,Point(-2.78332 55.95612),female,,,,,,,,Haddington
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Dunblane,Point(-3.973611111 56.188888888),female,,,,,,,,Edinburgh
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Dunblane,Point(-3.973611111 56.188888888),female,,,,,,,,Stirling
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Edinburgh,Point(-3.189166666 55.953333333),female,,,,,,,,Dunblane
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Stirling,Point(-3.9369 56.1166),female,,,,,,,,Dunblane
http://www.wikidata.org/entity/Q43391271,A/EGD/562,Barbara Drummond,Dunblane,Point(-3.973611111 56.188888888),female,,,,,,,,Dunblane
http://www.wikidata.org/entity/Q43391281,A/EGD/590,Grissell Rae,Kirkcudbright,Point(-4.051666666 54.835277777),female,,,,,,,,Kirkcudbright
http://www.wikidata.org/entity/Q43391381,A/EGD/691,Elizabeth Hutcheson,Edinburgh,Point(-3.189166666 55.953333333),female,,,middling,,,,,Edinburgh
http://www.wikidata.org/entity/Q43391586,A/EGD/901,Katherine Rannald,Linlithgow,Point(-3.610555555 55.975277777),female,,,,,,,,Linlithgow
http://www.wikidata.org/entity/Q43391590,A/EGD/903,Janet Robertsone,St Colme House,Point(-3.31373 56.0443),female,,,working poor,,,,,St Colme House
http://www.wikidata.org/entity/Q43392256,A/EGD/1745,Agnes Kelly,Prestonpans,Point(-2.961 55.9597),female,,,,,,,,Prestonpans
http://www.wikidata.org/entity/Q43392272,A/EGD/1881,Annaple Thomson,Bo'ness,Point(-3.608911111 56.016811111),female,,,,,,,,Bo'ness
