Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43911617,Robert Beith,Rothesay,Male,Burgess,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43911339,Thomas Thomson,Inverkeithing,Male,Burgess,-3.383333333 ,56.033333333
http://www.wikidata.org/entity/Q43911336,William Blackburn,Inverkeithing,Male,Burgess,-3.383333333 ,56.033333333
http://www.wikidata.org/entity/Q43912566,William Mitchell,Selkirk,Male,Burgess,-2.833333333 ,55.533333333
http://www.wikidata.org/entity/Q43912296,David Mitchell,Kincardine,Male,Chamberlain,-3.719 ,56.069
http://www.wikidata.org/entity/Q43914079,George Pringle,Haddington,Male,Chamberlain,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43910609,James Borthwick,Dirleton,Male,Chamberlain,-2.785 ,56.048
http://www.wikidata.org/entity/Q43912049,John Row,"Carrington, Midlothian",Male,Chamberlain,-3.0903 ,55.8328
http://www.wikidata.org/entity/Q43913857,Alexander Dick,Haddington,Male,Clerk,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43912464,George Gray,Haddington,Male,Clerk,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43916183,George Paterson,Haddington,Male,Clerk,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43913216,James Kennowie,Fife,Male,Clerk,-3.2 ,56.25
http://www.wikidata.org/entity/Q43911177,James Meldrum,Alloa,Male,Clerk,-3.8 ,56.116666666
http://www.wikidata.org/entity/Q43913396,James Mowat,Fawside,Male,Clerk,-2.257039 ,56.883724
http://www.wikidata.org/entity/Q43911602,John Auld,Rothesay,Male,Clerk,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43911599,John Boyle,Rothesay,Male,Clerk,-5.05 ,55.833333333
http://www.wikidata.org/entity/Q43910833,John Cruill,Montrose,Male,Clerk,-2.605833333 ,56.708055555
http://www.wikidata.org/entity/Q43915491,Leonard Houstoun,Duns,Male,Clerk,-2.3426 ,55.7784
http://www.wikidata.org/entity/Q43912947,David Stewart,Moray,Male,Commissary,-3.25 ,57.4167
http://www.wikidata.org/entity/Q43913025,Harry Home,Lauder,Male,Commissary,-2.74855 ,55.7194
http://www.wikidata.org/entity/Q43912278,Alexander Munro,Stirling,Male,Commissioner,-3.9369 ,56.1166
http://www.wikidata.org/entity/Q43913855,George Wallace,"Preston, East Lothian",Male,Constable,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43913836,John Forrester,Tranent,Male,Constable,-2.95417 ,55.9447
http://www.wikidata.org/entity/Q43913850,John Hepburn,Haddington,Male,Constable,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43913849,Robert Donaldson,Prestonpans,Male,Constable,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43913775,Robert Wait,Stenton,Male,Constable,-2.6 ,55.95
http://www.wikidata.org/entity/Q43913772,William Manderson,Stenton,Male,Constable,-2.6 ,55.95
http://www.wikidata.org/entity/Q43915566,Alexander Kairne,Edinburgh,Male,Cook,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43914778,David Munro,Caithness,Male,Deputy commander for political affairs and political staff,-3.5 ,58.416666666
http://www.wikidata.org/entity/Q43913971,Thomas Alexander,Kirkcudbright,Male,Deputy mayor,-4.051666666 ,54.835277777
http://www.wikidata.org/entity/Q43910646,Alexander Lindsay,Douglas,Male,Domestic worker,-3.85 ,55.55
http://www.wikidata.org/entity/Q43911247,Andrew Reid,Pollok,Male,Domestic worker,-4.3524 ,55.8247
http://www.wikidata.org/entity/Q43910592,John Cantlie,Lauderdale,Male,Domestic worker,-2.74889 ,55.73
http://www.wikidata.org/entity/Q43911245,Lawrence Pollock,Pollok,Male,Domestic worker,-4.3524 ,55.8247
http://www.wikidata.org/entity/Q43915697,Thomas Hynde,Eyemouth,Male,Domestic worker,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43910641,William Lockhart,Douglas,Male,Domestic worker,-3.85 ,55.55
