Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Place of Detainment
http://www.wikidata.org/entity/Q43394024,Margaret Nin Gilbert,Thurso,-3.521111111,58.59611111,Female,Thurso
http://www.wikidata.org/entity/Q43394568,Margaret Callum,Thurso,-3.521111111,58.59611111,Female,Thurso
http://www.wikidata.org/entity/Q43394023,Margaret Oisone,Thurso,-3.521111111,58.59611111,Female,Thurso
http://www.wikidata.org/entity/Q43393822,Elspeth Guild,Torryburn,-3.55,56.05,Female,Torryburn
http://www.wikidata.org/entity/Q43390247,Grissell Anderson,"Penston Farm, Penston",-2.8918846,55.940283,Female,Torryburn
http://www.wikidata.org/entity/Q43393833,Margret Horne,Torryburn,-3.55,56.05,Female,Torryburn
http://www.wikidata.org/entity/Q43393835,Cristian May,Torryburn,-3.55,56.05,Female,Torryburn
http://www.wikidata.org/entity/Q43393838,Agnes Broun,Torryburn,-3.55,56.05,Female,Torryburn
http://www.wikidata.org/entity/Q43393840,Margret Cowie,Torryburn,-3.55,56.05,Female,Torryburn
http://www.wikidata.org/entity/Q43393827,Margret Dobie,Torryburn,-3.55,56.05,Female,Torryburn
http://www.wikidata.org/entity/Q43394911,Marioun Yool,Haddington,-2.78332,55.95612,Female,Tranent
http://www.wikidata.org/entity/Q43394075,Andro Man,Tarbuckie,-2.965406,57.6732,Male,Aberdeen
http://www.wikidata.org/entity/Q43395589,John Purdie,"Lamberton, Scottish Borders",-2.055,55.808,Male,Ayton
http://www.wikidata.org/entity/Q43395813,Andro Tailyeor,Brechin,-2.655277777,56.73,Male,Brechin
http://www.wikidata.org/entity/Q43390243,Patrik Watsone,"Fenton Barns, East Fenton and West Fenton",-2.78028,56.0264,Male,Dirleton
http://www.wikidata.org/entity/Q43396137,Gawin Forsyth,Locharwoods,-3.49393,54.991447,Male,Dumfries
http://www.wikidata.org/entity/Q43395945,John Neill,Dunbar,-2.522777777,55.99833333,Male,Dunbar
http://www.wikidata.org/entity/Q43395292,Watty Bryis,Dunblane,-3.973611111,56.18888889,Male,Dunblane
http://www.wikidata.org/entity/Q43394350,John Murdoche,Dalgety Bay,-3.36755,56.0429,Male,Dunfermline
http://www.wikidata.org/entity/Q43390097,William Stevinsoun,The Hirsel,-2.27269444,55.66,Male,Duns
