Wikidata Page,Name,Residence,Gender,Long,Lat
http://www.wikidata.org/entity/Q43915324,James Rutherford,"Smeaton, East Lothian",Male,-2.6525 ,55.9986
http://www.wikidata.org/entity/Q43913597,James Sloss,Bo'ness,Male,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43912602,James Steidman,Kinross,Male,-3.42 ,56.2
http://www.wikidata.org/entity/Q43914528,James Threepland,Biggar,Male,-3.5158 ,55.6221
http://www.wikidata.org/entity/Q43910657,James Veitch,Lanarkshire,Male,-3.833333333 ,55.583333333
http://www.wikidata.org/entity/Q43911231,James Wallace,Pollok,Male,-4.3524 ,55.8247
http://www.wikidata.org/entity/Q43915166,James Weymss,Fife,Male,-3.2 ,56.25
http://www.wikidata.org/entity/Q43914445,James Williamson,Peebles,Male,-3.18 ,55.65
http://www.wikidata.org/entity/Q43915246,James Young,Edinburgh,Male,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43913538,James Yule,Keith,Male,-2.9555 ,57.5428
http://www.wikidata.org/entity/Q43915885,Janet Borthwick,Crichton,Male,-2.98249 ,55.8471
http://www.wikidata.org/entity/Q43911111,John Aitken,Orkney Islands,Male,-3.0 ,59.0
http://www.wikidata.org/entity/Q43913359,John Alexander,Renfrew,Male,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43914229,John Arniston,"Arniston, Midlothian",Male,-3.05 ,55.83
http://www.wikidata.org/entity/Q43910748,John Baillie,Haddington,Male,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43910544,John Bain,Delny,Male,-4.1505 ,57.7207
http://www.wikidata.org/entity/Q43916126,John Balfour,Haddington,Male,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43910578,John Begbie,Bolton,Male,-2.79042 ,55.9205
http://www.wikidata.org/entity/Q43915253,John Bowman,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43913080,John Brisbane,Bishopton,Male,-4.50518 ,55.9084
http://www.wikidata.org/entity/Q43915678,John Burnet,West Barns,Male,-2.553 ,55.9937
http://www.wikidata.org/entity/Q43915615,John Cahowne,Luss,Male,-4.644722222 ,56.096944444
http://www.wikidata.org/entity/Q43914412,John Cairns,Ormiston,Male,-2.94306 ,55.9122
http://www.wikidata.org/entity/Q43915312,John Cook,Dalkeith,Male,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43911262,John Cooper,Gogar,Male,-3.33333 ,55.9167
http://www.wikidata.org/entity/Q43915959,John Cor,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43912316,John Cranstoun,Cranston,Male,-2.9752 ,55.8846
http://www.wikidata.org/entity/Q43913288,John Dalrymple,"Waterside, East Dunbartonshire",Male,-4.1193 ,55.9337
http://www.wikidata.org/entity/Q43913223,John Dalyell,Newton,Male,-3.069835 ,55.917035
http://www.wikidata.org/entity/Q43915363,John Dobie,Dalkeith,Male,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43910721,John Eastone,Haddington,Male,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43915076,John Fin,Whitehill,Male,-3.030577 ,55.886446
http://www.wikidata.org/entity/Q43913639,John Finlayson,Bo'ness,Male,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43914501,John Fleming,Wigtown,Male,-4.443888888 ,54.8675
http://www.wikidata.org/entity/Q43915288,John Goodall,Liberton,Male,-3.1619 ,55.9144
http://www.wikidata.org/entity/Q43914081,John Halden,Gleneagles,Male,-3.7525 ,56.280833
http://www.wikidata.org/entity/Q43910552,John Haliburton,"Muirhouses, Falkirk",Male,-3.576 ,56.007
http://www.wikidata.org/entity/Q43915301,John Howlet,Newton,Male,-3.069835 ,55.917035
http://www.wikidata.org/entity/Q43912461,John Hunter,Cousland,Male,-2.995274 ,55.904962
http://www.wikidata.org/entity/Q43912046,John Johnston,Polton,Male,-3.13333 ,55.8667
http://www.wikidata.org/entity/Q43912188,John Kinloch,Dundee,Male,-2.97 ,56.464
http://www.wikidata.org/entity/Q43910923,John Leslie,Aberdeen,Male,-2.1 ,57.15
http://www.wikidata.org/entity/Q43911605,John MacIlverie,Dalavich,Male,-5.28611 ,56.2614
http://www.wikidata.org/entity/Q43913296,John MacKartny,Dumfries,Male,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43912172,John MacLeod,Dunvegan,Male,-6.58 ,57.44
http://www.wikidata.org/entity/Q43911503,John MacMorran,Prestonpans,Male,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43910713,John Maxwell,Renfrew,Male,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43911717,John Preston,Airdrie,Male,-3.98 ,55.86
http://www.wikidata.org/entity/Q43912074,John Pringle,"Woodhead, Aberdeenshire",Male,-2.35 ,57.436
http://www.wikidata.org/entity/Q43912290,John Sanders,Gogar,Male,-3.33333 ,55.9167
http://www.wikidata.org/entity/Q43913812,John Seton,West Barns,Male,-2.553 ,55.9937
http://www.wikidata.org/entity/Q43912106,John Shaw,Greenock,Male,-4.766666666 ,55.95
http://www.wikidata.org/entity/Q43915334,John Sheil,Dalkeith,Male,-3.068332 ,55.893642
