Wikidata Page,Name,Residence,Gender,Occupation,Long,Lat
http://www.wikidata.org/entity/Q43916189,John Dickson,Haddington,Male,Burgess,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43914887,George Purves,Dunbar,Male,Clerk,-2.522777777 ,55.998333333
http://www.wikidata.org/entity/Q43915067,Alexander Wedderburn,Dundee,Male,Clerk,-2.97 ,56.464
http://www.wikidata.org/entity/Q43916169,George Halliday,Eyemouth,Male,Clerk,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43915689,John Gray,Eyemouth,Male,Cobbler,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43915690,James Sinclair,Eyemouth,Male,Cobbler,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43913996,William Baillie,Inverness,Male,Commissary,-4.225833333 ,57.483888888
http://www.wikidata.org/entity/Q43914693,James Stewart,Ladywell,Male,Commissary,-3.594 ,56.5575
http://www.wikidata.org/entity/Q43915178,James Hamilton,Glasgow,Male,Commissary,-4.27 ,55.87
http://www.wikidata.org/entity/Q43915421,Robert Munro,Caithness,Male,Commissary,-3.5 ,58.416666666
http://www.wikidata.org/entity/Q43915608,John Hay,Moray,Male,Commissary,-3.25 ,57.4167
http://www.wikidata.org/entity/Q43913853,Robert Drummond,"Preston, East Lothian",Male,Constable,-2.979 ,55.9547
http://www.wikidata.org/entity/Q43912968,Robert Jameson,Isle of Bute,Male,Coroner,-5.05636 ,55.83569
http://www.wikidata.org/entity/Q43914808,James Campbell,Inverness,Male,Deputy commander for political affairs and political staff,-4.225833333 ,57.483888888
http://www.wikidata.org/entity/Q43912036,John Stevenson,Prestonpans,Male,Drysalter,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43911191,James Cuningham,Alloa,Male,Elder,-3.8 ,56.116666666
http://www.wikidata.org/entity/Q43913477,James Guthrie,Dysart,Male,Elder,-3.1254 ,56.1256
http://www.wikidata.org/entity/Q43913917,Thomas Guthrie,Irvine,Male,Elder,-4.661111111 ,55.619444444
http://www.wikidata.org/entity/Q43910873,David Murray,Perth,Male,Guard,-3.4317 ,56.3953
http://www.wikidata.org/entity/Q43913561,John Adamson,Peaston,Male,Head Teacher,-2.915091 ,55.878235
http://www.wikidata.org/entity/Q43913565,James Cockburn,Keith,Male,Head Teacher,-2.9555 ,57.5428
http://www.wikidata.org/entity/Q43913237,James Forrest,Lanark,Male,Lawyer,-3.77702 ,55.6749
http://www.wikidata.org/entity/Q43913982,John Home,"Renton, West Dunbartonshire",Male,Lord Justice Clerk,-4.574 ,55.962
http://www.wikidata.org/entity/Q43914780,John Cockburn,Ormiston,Male,Lord Justice Clerk,-2.94306 ,55.9122
http://www.wikidata.org/entity/Q43912005,James Smith,Dunbar,Male,Merchant,-2.522777777 ,55.998333333
http://www.wikidata.org/entity/Q43912389,John Currie,Eyemouth,Male,Merchant,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43910750,Robert Bruce,Aberdour,Male,Minister,-3.3021 ,56.0528
http://www.wikidata.org/entity/Q43910752,John Duncan,Dunfermline,Male,Minister,-3.461666666 ,56.071388888
http://www.wikidata.org/entity/Q43910785,Patrick Simpson,Logie Coldstone,Male,Minister,-2.93528 ,57.1267
http://www.wikidata.org/entity/Q43910971,John Munro,Reay,Male,Minister,-3.775 ,58.559
http://www.wikidata.org/entity/Q43911182,John Craigengelt,Dollar,Male,Minister,-3.66814 ,56.1625
http://www.wikidata.org/entity/Q43911453,John Anderson,St Andrews,Male,Minister,-2.798888888 ,56.338888888
http://www.wikidata.org/entity/Q43911874,John Durie,Dalmeny,Male,Minister,-3.37 ,55.983
http://www.wikidata.org/entity/Q43911977,James Smith,Innerleithen,Male,Minister,-3.05901 ,55.6184
http://www.wikidata.org/entity/Q43912097,James Cockburn,Pencaitland,Male,Minister,-2.89098 ,55.91
http://www.wikidata.org/entity/Q43912330,James Scott,Oxnam,Male,Minister,-2.47722222 ,55.45813889
http://www.wikidata.org/entity/Q43912346,James Douglas,"Cavers, Scottish Borders",Male,Minister,-2.7273 ,55.4324
http://www.wikidata.org/entity/Q43912695,George Campbell,Dumfries,Male,Minister,-3.616666666 ,55.066666666
http://www.wikidata.org/entity/Q43912704,John Campbell,Torthorwald,Male,Minister,-3.51447 ,55.0892
http://www.wikidata.org/entity/Q43912706,John Brown,"Tinwald, Dumfries and Galloway",Male,Minister,-3.56417 ,55.1183
http://www.wikidata.org/entity/Q43913261,John Somerville,Renfrew,Male,Minister,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43913380,John Wilson,Largs,Male,Minister,-4.863611111 ,55.793888888
http://www.wikidata.org/entity/Q43913439,John Graham,Aberuthven,Male,Minister,-3.65398 ,56.3199
http://www.wikidata.org/entity/Q43913582,James Hamilton,Bo'ness,Male,Minister,-3.608911111 ,56.016811111
http://www.wikidata.org/entity/Q43913649,John Home,Eyemouth,Male,Minister,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43913686,David Drummond,Crieff,Male,Minister,-3.8431 ,56.3736
http://www.wikidata.org/entity/Q43913689,Robert Murray,Methven,Male,Minister,-3.58 ,56.415
http://www.wikidata.org/entity/Q43913694,William Dalgleish,Edinburgh,Male,Minister,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43913730,James Home,Samuelston,Male,Minister,-2.828 ,55.929
http://www.wikidata.org/entity/Q43913877,John Sinclair,Ormiston,Male,Minister,-2.94306 ,55.9122
http://www.wikidata.org/entity/Q43913943,William Russell,Kilbirnie,Male,Minister,-4.7 ,55.75
http://www.wikidata.org/entity/Q43914058,John Weymss,Duns,Male,Minister,-2.3426 ,55.7784
http://www.wikidata.org/entity/Q43914139,Andrew Reid,Kirkbean,Male,Minister,-3.5932 ,54.9419
http://www.wikidata.org/entity/Q43914168,George Home,Ayton,Male,Minister,-2.12301 ,55.8425
http://www.wikidata.org/entity/Q43914375,James Campbell,Dalkeith,Male,Minister,-3.068332 ,55.893642
http://www.wikidata.org/entity/Q43914822,Robert Bruce,Edinburgh,Male,Minister,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43914915,George Ramsay,Lasswade,Male,Minister,-3.11667 ,55.8833
http://www.wikidata.org/entity/Q43914978,James Ross,Aberdeen,Male,Minister,-2.1 ,57.15
http://www.wikidata.org/entity/Q43915005,John Gibson,Dalmeny,Male,Minister,-3.37 ,55.983
http://www.wikidata.org/entity/Q43915142,James Home,Dunbar,Male,Minister,-2.522777777 ,55.998333333
http://www.wikidata.org/entity/Q43915343,George Johnston,Newbattle,Male,Minister,-3.0775 ,55.8817
http://www.wikidata.org/entity/Q43915383,Robert Colville,Culross,Male,Minister,-3.6293 ,56.0554
http://www.wikidata.org/entity/Q43915439,John Cranstoun,Leith,Male,Minister,-3.17005 ,55.9801
http://www.wikidata.org/entity/Q43915736,Patrick Hamilton,Dunbar,Male,Minister,-2.522777777 ,55.998333333
http://www.wikidata.org/entity/Q43915998,Alexander Lindsay,Perth,Male,Notary,-3.4317 ,56.3953
http://www.wikidata.org/entity/Q43913641,John Mitchell,Leith,Male,Officer of the court,-3.17005 ,55.9801
http://www.wikidata.org/entity/Q43913424,Walter Stewart,Aberdeen,Male,Principle of Aberdeen University,-2.1 ,57.15
http://www.wikidata.org/entity/Q43912724,Robert Taylor,Montrose,Male,Provost,-2.605833333 ,56.708055555
http://www.wikidata.org/entity/Q43913933,Hugh Kennedy,Ayr,Male,Provost,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43914112,Thomas Murray,Dornoch,Male,Provost,-4.03 ,57.88
http://www.wikidata.org/entity/Q43914652,John Rutherford,Jedburgh,Male,Provost,-2.546 ,55.477
http://www.wikidata.org/entity/Q43914843,William Little,Edinburgh,Male,Provost,-3.1989 ,55.95
http://www.wikidata.org/entity/Q43915071,James Stewart,Rosyth,Male,Provost,-3.43226 ,56.03388
http://www.wikidata.org/entity/Q43915073,Patrick Stewart,Hill of Beath,Male,Provost,-3.3681 ,56.0958
http://www.wikidata.org/entity/Q43915500,Alexander Hay,Tain,Male,Provost,-4.0567 ,57.8118
http://www.wikidata.org/entity/Q43915665,James Williamson,Peebles,Male,Provost,-3.18 ,55.65
http://www.wikidata.org/entity/Q43915704,James Blair,Ayr,Male,Provost,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43915807,John Stewart,Ayr,Male,Provost,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43916240,William Seton,Haddington,Male,Provost,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43912037,James Robertson,Prestonpans,Male,Sailor,-2.961 ,55.9597
http://www.wikidata.org/entity/Q43912337,William Douglas,Teviotdale,Male,Sheriff,-2.783333333 ,55.466666666
http://www.wikidata.org/entity/Q43912575,John Murray,Philiphaugh,Male,Sheriff,-2.8857 ,55.5398
http://www.wikidata.org/entity/Q43913270,John Buchanan,Orkney Islands,Male,Sheriff,-3.0 ,59.0
http://www.wikidata.org/entity/Q43914679,Robert Ker,Roxburgh,Male,Sheriff,-2.4667 ,55.5667
http://www.wikidata.org/entity/Q43915173,James Pringle,Galashiels,Male,Sheriff,-2.818888888 ,55.620555555
http://www.wikidata.org/entity/Q43915630,Robert Cockburn,Berwick-upon-Tweed,Male,Sheriff,-2.0 ,55.7667
http://www.wikidata.org/entity/Q43912530,Archibald Stewart,Perth,Male,Sheriff Depute,-3.4317 ,56.3953
http://www.wikidata.org/entity/Q43912700,James Cockburn,Haddington,Male,Sheriff Depute,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43912959,James Stewart,Kilwinning,Male,Sheriff Depute,-4.7 ,55.65
http://www.wikidata.org/entity/Q43913002,John Cuningham,Ayr,Male,Sheriff Depute,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43913043,William Murray,Ochtertyre,Male,Sheriff Depute,-3.89 ,56.38
http://www.wikidata.org/entity/Q43913179,John Stewart,Moray,Male,Sheriff Depute,-3.25 ,57.4167
http://www.wikidata.org/entity/Q43913362,Robert Sempill,Renfrew,Male,Sheriff Depute,-4.366666666 ,55.866666666
http://www.wikidata.org/entity/Q43913986,Alexander Ross,Ross and Cromarty,Male,Sheriff Depute,-5.0 ,57.6667
http://www.wikidata.org/entity/Q43913988,Alexander Chisholm,Ross and Cromarty,Male,Sheriff Depute,-5.0 ,57.6667
http://www.wikidata.org/entity/Q43914923,John Gordon,Buckie,Male,Sheriff Depute,-2.9825 ,57.675555555
http://www.wikidata.org/entity/Q43915198,David Dunbar,Ayr,Male,Sheriff Depute,-4.6278 ,55.4639
http://www.wikidata.org/entity/Q43915526,John Cranstoun,Berwickshire,Male,Sheriff Depute,-2.5 ,55.75
http://www.wikidata.org/entity/Q43916117,Robert Wilson,Banff,Male,Sheriff Depute,-2.524 ,57.667
http://www.wikidata.org/entity/Q43913839,James Scott,Haddington,Male,Tailor,-2.78332 ,55.95612
http://www.wikidata.org/entity/Q43915691,James Wilson,Eyemouth,Male,Tailor,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43915695,James Ker,Eyemouth,Male,Weaver,-2.090555555 ,55.869444444
http://www.wikidata.org/entity/Q43915375,John Ramsay,Ormiston,Male,Witch-pricker,-2.94306 ,55.9122
