Wikidata Page,Name,Residence,Longitude,Latitude,Gender,Social Classification
http://www.wikidata.org/entity/Q43390345,Kathrine Stewart,Isle of Bute,-5.05636,55.83569,Female,Middling
http://www.wikidata.org/entity/Q43393530,Marion Ingrahame,Newton-on-Ayr,-4.625473,55.473285,Female,Middling
http://www.wikidata.org/entity/Q43393722,Cristian Small,Largs,-4.863611111,55.79388889,Female,Middling
http://www.wikidata.org/entity/Q43392598,Bessie Littil,Longniddry,-2.88333,55.9667,Female,Middling
http://www.wikidata.org/entity/Q43392674,Margrat Fischer,Peebles,-3.18,55.65,Female,Middling
http://www.wikidata.org/entity/Q43392788,Jonet Smaillie,Ayr,-4.627777777,55.46388889,Female,Middling
http://www.wikidata.org/entity/Q43389970,Margaret Cowane,The Canongate,-3.176,55.9496,Female,Middling
http://www.wikidata.org/entity/Q43391582,Christian Umpharstoun,Haddington,-2.78332,55.95612,Female,Middling
http://www.wikidata.org/entity/Q43395230,Marione Lewers,Little Richorn,-3.817294,54.917552,Female,Middling
http://www.wikidata.org/entity/Q43391385,Margaret Comb,Bo'ness,-3.608911111,56.01681111,Female,Middling
http://www.wikidata.org/entity/Q43391532,Katherine Cunynhame,Sammuelston,-2.825545,55.92742,Female,Middling
http://www.wikidata.org/entity/Q43392454,Jonet Hammyltoun,Hamilton,-4.068055555,55.78,Female,Middling
http://www.wikidata.org/entity/Q43390933,Margaret Robertson,Tranent,-2.95417,55.9447,Female,Middling
http://www.wikidata.org/entity/Q43391296,Wobster's wife of Seytoune,Seton,-2.940687,55.964086,Female,Middling
http://www.wikidata.org/entity/Q43391453,Jannet Gentleman,Glasgow,-4.27,55.87,Female,Middling
http://www.wikidata.org/entity/Q43391817,Elizabeth Jamesone,Bo'ness,-3.608911111,56.01681111,Female,Middling
http://www.wikidata.org/entity/Q43391826,Margaret Suthirlan,Kiltearn,-4.33555,57.6639,Female,Middling
http://www.wikidata.org/entity/Q43391231,wife of Nicoll Murray,Haddington,-2.78332,55.95612,Female,Middling
http://www.wikidata.org/entity/Q43391325,Meg Bogtoun,Spilmersford Mains,-2.876219,55.913052,Female,Middling
http://www.wikidata.org/entity/Q43394922,Jonet Watsone,Dalkeith,-3.068332,55.893642,Female,Middling
http://www.wikidata.org/entity/Q43390946,Marion Gray,Tranent,-2.95417,55.9447,Female,Middling
http://www.wikidata.org/entity/Q43391201,Jonet Robeson,Haddington,-2.78332,55.95612,Female,Middling
http://www.wikidata.org/entity/Q43392431,Marion Ure,Glasgow,-4.27,55.87,Female,Middling
http://www.wikidata.org/entity/Q43395081,Thomas Weir,Edinburgh,-3.198888888,55.95,Male,Middling
http://www.wikidata.org/entity/Q43392017,Katherine Miller,Ardgowan House,-4.8698,55.9169,Female,Middling
http://www.wikidata.org/entity/Q43392099,Elizabeth Hunter,Arbroath,-2.585705555,56.56138611,Female,Middling
http://www.wikidata.org/entity/Q43390093,Helen Manderstoun (Arnot),Manderston Mill House,-2.3086487,55.796339,Female,Nobility
http://www.wikidata.org/entity/Q43389941,Jonnet Man,Dunbar,-2.522777777,55.99833333,Female,Pauper
http://www.wikidata.org/entity/Q43393961,Marione Sprott,Dumfries,-3.616666666,55.06666667,Female,Pauper
http://www.wikidata.org/entity/Q43391593,Barbara Napier,Edinburgh,-3.198888888,55.95,Female,Upper Class
http://www.wikidata.org/entity/Q43391705,Jonet McClintock,Dumbarton,-4.547222222,55.94861111,Female,Upper Class
http://www.wikidata.org/entity/Q43391664,Catharine Whitlay,Haddington,-2.78332,55.95612,Female,Upper Class
http://www.wikidata.org/entity/Q43392144,Sharp,St Andrews,-2.798888888,56.33888889,Male,Upper Class
http://www.wikidata.org/entity/Q43393985,Violet Mar,Kildeesland,-3.572683,56.412856,Female,Upper Class
